"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-77.610006"	"-3.822022"	"I. Huamantupa Chuquimaco"	"15776"	"Protium"	"leptostachyum"	"Peru"	"Amazonas"	1044	"NA"	220947	"P. leptostachyum"
"-76.18"	-1	"A. Dik"	"1579"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	"NA"	220947	"P. aracouchini"
"-57.733"	"-4.5"	"J. C. Lindeman"	"158"	"Protium"	"aracouchini"	"Suriname"	"Nickerie"	30	130	220947	"P. aracouchini"
"-76.53"	"-0.52"	"N. C. A. Pitman"	"1596 A"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-76.18"	"-1.03"	"A. Dik"	"1606"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	249	249	220947	"P. aracouchini"
"-65.55"	"3.17"	"G. Zimmermann"	"161"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	120	"NA"	220947	"P. aracouchini"
"-76.18"	"-1.03"	"A. Dik"	"1616"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	249	249	220947	"P. aracouchini"
"-77.5606"	"-2.7458"	"D. A. Neill"	"16395"	"Protium"	"calanense"	"Ecuador"	"Morona-Santiago"	220	"NA"	220947	"P. calanense"
"-56.52"	"5.1"	"H. Jim?nez Saa."	"1685"	"Protium"	"aracouchini"	"Suriname"		"NA"	"NA"	220947	"P. aracouchini"
"-73.67"	"-4.92"	"Collector unspecified"	"17"	"Protium"	"aracouchini"	"Peru"	"Loreto"	125	"NA"	220947	"P. aracouchini"
"-65.97"	"-10.78"	"J. C. Solomon"	"17176"	"Protium"	"aracouchini"	"Bolivia"	"Pando"	110	110	220947	"P. aracouchini"
"-66.3"	"2.58"	"M. Colella"	"1720"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	90	120	220947	"P. aracouchini"
"-39.1"	"-14.48"	"P. Fiaschi"	"1728"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
